value,group,region,cat_a,cat_b
18.317606324623284,c,north,a1,b1
21.471880781401808,c,north,a1,b1
18.982651800380065,c,north,a2,b2
18.502197762981208,c,north,a2,b2
19.238569785873114,c,north,a1,b1
19.235990433543382,c,north,a1,b1
19.973716075100096,c,north,a2,b2
19.842065385897232,c,north,a2,b2
21.03108120134621,c,north,a2,b2
19.833560737393466,c,north,a1,b1
20.175551193559077,c,north,a2,b2
19.010020880024225,c,north,a2,b2
20.497248770774718,c,north,a1,b1
19.225020886072432,c,north,a1,b1
18.051707178460756,c,north,a2,b2
21.303835084112574,c,north,a1,b1
18.943568195223566,c,north,a2,b2
18.91029801338968,c,north,a2,b2
19.12332384488714,c,north,a2,b2
20.65111772159725,c,north,a2,b2
18.476574008358355,c,north,a2,b2
19.601860050805783,c,north,a2,b2
20.576884131942453,c,north,a1,b1
21.896939474670603,c,north,a2,b2
19.710314920170344,c,north,a1,b1
20.05582650833778,c,north,a2,b2
19.132749563712448,c,north,a1,b1
21.981290589058716,c,north,a1,b1
19.859433628009864,c,north,a2,b2
19.937436948732874,c,north,a2,b2
20.146718337299934,c,north,a1,b1
19.083872176988894,c,north,a2,b2
19.98980519779825,c,north,a1,b1
18.738740855457756,c,north,a1,b1
21.488842100887958,c,north,a2,b2
19.850526960107516,c,north,a2,b2
19.83513540789841,c,north,a2,b2
21.168195758278507,c,north,a1,b1
3.784144115177978,a,south,a1,b2
6.401256351044982,a,south,a2,b2
6.5222818221033565,a,south,a1,b1
4.230736796353974,a,south,a2,b2
5.6907475394246845,a,south,a2,b2
4.902423999015053,a,south,a2,b2
5.882704820574494,a,south,a1,b2
5.0419595039074725,a,south,a1,b2
4.099831403977889,a,south,a1,b2
5.628111110955383,a,south,a2,b2
4.781524710699744,a,south,a1,b1
5.179244452133275,a,south,a1,b1
5.9764409903166165,a,south,a1,b2
6.215274651839943,a,south,a1,b1
5.629196179258458,a,south,a2,b2
3.578884403500971,a,south,a2,b1
5.694432188620056,a,south,a1,b2
4.699498413443522,a,south,a1,b1
6.072249058269188,a,south,a1,b2
4.804158326628984,a,south,a2,b2
6.4259985863620415,a,south,a1,b1
5.5140710669046085,a,south,a1,b1
5.000067935434855,a,south,a1,b2
5.293272654444149,a,south,a1,b1
3.2360249332474247,a,south,a2,b1
5.573807228173051,a,south,a2,b2
5.11494091340879,a,south,a2,b1
3.903202281195191,a,south,a2,b1
5.407001622720889,a,south,a1,b2
5.3192577348176515,a,south,a1,b1
5.357620624297566,a,south,a1,b1
4.884606542911216,a,south,a1,b2
5.788517705820285,a,south,a1,b2
5.801446161135444,a,south,a2,b1
5.093591476739785,a,south,a1,b1
4.938884798219834,a,south,a2,b1
4.546204016633991,a,south,a2,b1
4.404930037561527,a,south,a1,b2
5.611762518588093,a,south,a2,b1
4.4541007225436,a,south,a1,b2
3.5877767920332095,a,south,a2,b1
5.245959770051724,a,south,a1,b1
6.107416477126767,a,south,a1,b1
4.726393630338644,a,south,a2,b1
5.868215616664136,a,south,a2,b1
5.481498469234166,a,south,a1,b2
3.9918057531096243,a,south,a2,b2
5.322469767682282,a,south,a1,b1
4.891108757032277,a,south,a1,b1
5.682223880607984,a,south,a2,b1
2.2143751364263426,a,south,a1,b2
5.8312948280788754,a,south,a2,b1
5.741412461672888,a,south,a2,b2
4.075246509327273,a,south,a1,b2
6.069738819293397,a,south,a1,b1
4.84869277750893,a,south,a1,b2
5.184502202143469,a,south,a1,b2
5.866213206321505,a,south,a2,b2
6.346538608758552,a,south,a1,b2
5.173604814555149,a,south,a1,b2
5.688291577557406,a,south,a2,b2
5.446266682741423,a,south,a1,b2
4.275180561144558,a,south,a2,b2
6.644966223251974,a,south,a2,b2
5.781340308274583,a,south,a1,b1
5.156700131611198,a,south,a2,b1
6.083947940445542,a,south,a2,b1
5.553984518870889,a,south,a2,b1
4.457816215406745,a,south,a2,b2
6.016693391811272,a,south,a1,b1
5.078458832766985,b,south,a2,b2
5.63622908910249,b,south,a1,b2
5.9726846896837325,b,south,a2,b1
5.965458258499046,b,south,a1,b2
6.899163018911236,b,south,a2,b2
5.218297317308181,b,south,a2,b2
4.853310999948187,b,south,a1,b2
4.2968592446946925,b,south,a1,b1
4.397210273556916,b,south,a2,b2
5.693089095245962,b,south,a2,b1
5.451387718766952,b,south,a2,b2
4.165372724123538,b,south,a2,b1
4.417483764274627,b,south,a1,b1
4.591528459510349,b,south,a2,b2
6.5894499115276846,b,south,a1,b2
4.102721538023639,b,south,a1,b2
5.397273342021096,b,south,a2,b2
3.4101851732839186,b,south,a2,b1
4.808780453692022,b,south,a1,b1
6.4235073133930705,b,south,a1,b1
3.789766398332109,b,south,a1,b2
6.190341234909184,b,south,a2,b1
3.1537972801490395,b,south,a1,b2
5.095282078391826,b,south,a1,b1
3.936670712453748,b,south,a2,b1
5.019014802333124,b,south,a2,b2
4.7985901217845575,b,south,a2,b2
5.851077405344074,b,south,a2,b2
5.308925569856709,b,south,a2,b2
5.206351613047129,b,south,a1,b2
4.496385173295346,b,south,a2,b1
5.486559355461877,b,south,a1,b2
4.241307576463294,b,south,a1,b2
4.398077074781947,b,south,a1,b1
4.412579652456084,b,south,a2,b2
5.605458838053338,b,south,a2,b1
7.298340994932344,b,south,a2,b2
4.974238535650026,b,south,a1,b1
6.957404647974585,b,south,a1,b1
4.023275412188811,b,south,a1,b1
4.4420836992536525,b,south,a1,b1
5.559120493705821,b,south,a2,b1
5.648137528419852,b,south,a2,b1
5.801069444471624,b,south,a2,b1
6.6163401231181,b,south,a1,b1
4.838033423060845,b,south,a1,b2
6.124964555390539,b,south,a1,b1
5.290257705909035,b,south,a2,b2
2.219412143360803,b,south,a2,b2
4.052153738964617,b,south,a2,b1
4.5191300448688505,b,south,a1,b2
5.156659775940436,b,south,a1,b2
5.57537925458696,b,south,a1,b2
4.771630280943864,b,south,a1,b2
6.356196929590677,b,south,a2,b1
4.077049430132615,b,south,a2,b2
5.021755413254581,b,south,a2,b1
5.965000787954224,b,south,a2,b1
3.924444550783485,b,south,a1,b1
6.300893131960496,b,south,a1,b1
5.9983919324818835,b,south,a1,b1
4.885078853056523,b,south,a2,b2
5.050994005732257,b,south,a2,b1
4.959598766169335,b,south,a1,b2
5.0683920867379735,b,south,a2,b2
6.291157868238836,b,south,a1,b1
5.561387588211483,b,south,a1,b2
3.672313063927971,b,south,a2,b1
3.5070651866187346,b,south,a2,b2
5.6474104502169915,b,south,a1,b2
2.4223849352736666,c,south,a1,b1
3.4710458737512786,c,south,a2,b1
4.429197384650395,c,south,a1,b1
5.016263792020537,c,south,a2,b2
6.3869352166445275,c,south,a2,b2
5.21359480860372,c,south,a2,b2
8.543037704854227,c,south,a2,b1
5.249789277987419,c,south,a1,b2
5.890513886772343,c,south,a1,b1
6.049073673361378,c,south,a1,b1
4.928180295602404,c,south,a2,b2
5.984682885354408,c,south,a2,b1
5.628464632087458,c,south,a2,b1
5.269016479764029,c,south,a2,b1
4.401140938707931,c,south,a1,b1
4.606025657711386,c,south,a2,b1
5.827866277762476,c,south,a1,b2
4.996710528279923,c,south,a2,b1
5.435148424765379,c,south,a2,b2
5.435531256345325,c,south,a2,b1
5.3101162660126215,c,south,a2,b2
5.047154704677608,c,south,a1,b2
5.619000989644874,c,south,a1,b2
5.8614473173742425,c,south,a1,b2
6.403992640867242,c,south,a1,b2
5.532212323834083,c,south,a2,b1
4.471021808827711,c,south,a1,b1
4.357779866805423,c,south,a2,b2
5.6691192219994475,c,south,a2,b1
3.511943966346969,c,south,a2,b2
4.514848543328979,c,south,a2,b2
6.070965457225669,c,south,a1,b2
4.703715718343443,c,south,a1,b2
4.381203266450557,c,south,a2,b1
6.262335543637201,c,south,a2,b2
2.386828258376908,c,south,a1,b1
4.956955446558751,c,south,a2,b2
4.576635840773694,c,south,a1,b1
4.545603629208909,c,south,a2,b1
5.9381310352439325,c,south,a2,b1
6.528455543912513,c,south,a2,b2
6.163078212049502,c,south,a2,b2
5.653440488319327,c,south,a2,b1
5.35796645765382,c,south,a1,b2
4.790832677662534,c,south,a1,b1
5.036517105533882,c,south,a1,b1
3.4165610749276434,c,south,a1,b1
4.51238222817936,c,south,a2,b1
5.6277426891564915,c,south,a1,b1
4.913470466154588,c,south,a2,b1
5.855959205290732,c,south,a1,b1
3.4834142230901843,c,south,a2,b2
4.4729792559961785,c,south,a2,b1
4.034734722568066,c,south,a1,b1
6.082616967605282,c,south,a2,b1
4.771470582918169,c,south,a2,b1
4.740646075452677,c,south,a2,b2
3.8148558427812955,c,south,a1,b1
4.531773000614195,c,south,a2,b2
4.027204900019621,c,south,a1,b2
4.464314495445884,c,south,a1,b1
7.197944909271107,c,south,a1,b2
3.8830183877532796,c,south,a1,b1
4.772463094350623,c,south,a1,b2
4.140820256919062,c,south,a2,b1
6.33128071678462,c,south,a1,b2
4.0615524021363285,c,south,a1,b1
4.164969764361969,c,south,a1,b1
5.392901554863651,c,south,a1,b1
6.679204151491948,c,south,a1,b1
